Identifier;DimensionGroupId;DimensionId;Index;Title;Description
T001059;1;Nationaliteit;1;Totaal;"Inclusief Nederlands en zonder/onbekend.

"
NAT9278;4;Nationaliteit;2;Afghaans ;
NAT9279;5;Nationaliteit;3;Albanees ;
NAT9280;3;Nationaliteit;4;Algerijns ;
NAT9310;4;Nationaliteit;5;Chinees ;
NAT9326;3;Nationaliteit;6;Eritrees ;
NAT9328;3;Nationaliteit;7;Ethiopisch ;
NAT9334;3;Nationaliteit;8;Gambiaans ;
NAT9341;3;Nationaliteit;9;Guinees ;
NAT9350;4;Nationaliteit;10;Iraaks ;
NAT9351;4;Nationaliteit;11;Iraans ;
NAT9357;4;Nationaliteit;12;Jemenitisch ;Jemenitisch, Noordjemenitisch en Zuidjemenitisch.
NAT9387;3;Nationaliteit;13;Marokkaans ;
NAT9437;3;Nationaliteit;14;Soedanees ;
NAT9438;3;Nationaliteit;15;Somalisch ;
NAT9444;4;Nationaliteit;16;Syrisch ;
NAT9458;5;Nationaliteit;17;Turks ;
NAT9488;1;Nationaliteit;18;Onbekend;Personen van wie de nationaliteit niet kan worden vastgesteld.
NAT9487;1;Nationaliteit;19;Staatloos;Personen die door geen enkele staat als onderdaan worden beschouwd.
