Id;Measure;Geslacht;Leeftijd;Nationaliteit;Perioden;Value;StringValue;ValueAttribute
0;D000091;T001038;10000;T001059;2008JJ00;725;;None
1;D000091;T001038;10000;T001059;2009JJ00;1040;;None
2;D000091;T001038;10000;T001059;2010JJ00;700;;None
3;D000091;T001038;10000;T001059;2011JJ00;485;;None
4;D000091;T001038;10000;T001059;2012JJ00;380;;None
5;D000091;T001038;10000;T001059;2013JJ00;310;;None
6;D000091;T001038;10000;T001059;2014JJ00;960;;None
7;D000091;T001038;10000;T001059;2015JJ00;3860;;None
8;D000091;T001038;10000;T001059;2016JJ00;1705;;None
9;D000091;T001038;10000;T001059;2017JJ00;1180;;None
10;D000091;T001038;10000;T001059;2018JJ00;1225;;None
11;D000091;T001038;10000;T001059;2019JJ00;1045;;None
12;D000091;T001038;10000;T001059;2020JJ00;985;;None
13;D000091;T001038;10000;T001059;2021JJ00;2190;;None
14;D000091;T001038;10000;T001059;2022JJ00;4205;;None
15;D000091;T001038;10000;NAT9278;2008JJ00;95;;None
16;D000091;T001038;10000;NAT9278;2009JJ00;0;;None
17;D000091;T001038;10000;NAT9278;2010JJ00;0;;None
18;D000091;T001038;10000;NAT9278;2011JJ00;260;;None
19;D000091;T001038;10000;NAT9278;2012JJ00;145;;None
20;D000091;T001038;10000;NAT9278;2013JJ00;60;;None
21;D000091;T001038;10000;NAT9278;2014JJ00;30;;None
22;D000091;T001038;10000;NAT9278;2015JJ00;535;;None
23;D000091;T001038;10000;NAT9278;2016JJ00;195;;None
24;D000091;T001038;10000;NAT9278;2017JJ00;65;;None
25;D000091;T001038;10000;NAT9278;2018JJ00;30;;None
26;D000091;T001038;10000;NAT9278;2019JJ00;55;;None
27;D000091;T001038;10000;NAT9278;2020JJ00;45;;None
28;D000091;T001038;10000;NAT9278;2021JJ00;85;;None
29;D000091;T001038;10000;NAT9278;2022JJ00;145;;None
30;D000091;T001038;10000;NAT9279;2008JJ00;0;;None
31;D000091;T001038;10000;NAT9279;2009JJ00;0;;None
32;D000091;T001038;10000;NAT9279;2010JJ00;0;;None
33;D000091;T001038;10000;NAT9279;2011JJ00;0;;None
34;D000091;T001038;10000;NAT9279;2012JJ00;0;;None
35;D000091;T001038;10000;NAT9279;2013JJ00;0;;None
36;D000091;T001038;10000;NAT9279;2014JJ00;5;;None
37;D000091;T001038;10000;NAT9279;2015JJ00;25;;None
38;D000091;T001038;10000;NAT9279;2016JJ00;40;;None
39;D000091;T001038;10000;NAT9279;2017JJ00;30;;None
40;D000091;T001038;10000;NAT9279;2018JJ00;30;;None
41;D000091;T001038;10000;NAT9279;2019JJ00;10;;None
42;D000091;T001038;10000;NAT9279;2020JJ00;5;;None
43;D000091;T001038;10000;NAT9279;2021JJ00;0;;None
44;D000091;T001038;10000;NAT9279;2022JJ00;5;;None
45;D000091;T001038;10000;NAT9280;2008JJ00;0;;None
46;D000091;T001038;10000;NAT9280;2009JJ00;0;;None
47;D000091;T001038;10000;NAT9280;2010JJ00;0;;None
48;D000091;T001038;10000;NAT9280;2011JJ00;0;;None
49;D000091;T001038;10000;NAT9280;2012JJ00;5;;None
50;D000091;T001038;10000;NAT9280;2013JJ00;5;;None
51;D000091;T001038;10000;NAT9280;2014JJ00;0;;None
52;D000091;T001038;10000;NAT9280;2015JJ00;5;;None
53;D000091;T001038;10000;NAT9280;2016JJ00;60;;None
54;D000091;T001038;10000;NAT9280;2017JJ00;55;;None
55;D000091;T001038;10000;NAT9280;2018JJ00;55;;None
56;D000091;T001038;10000;NAT9280;2019JJ00;70;;None
57;D000091;T001038;10000;NAT9280;2020JJ00;60;;None
58;D000091;T001038;10000;NAT9280;2021JJ00;70;;None
59;D000091;T001038;10000;NAT9280;2022JJ00;70;;None
60;D000091;T001038;10000;NAT9310;2008JJ00;50;;None
61;D000091;T001038;10000;NAT9310;2009JJ00;10;;None
62;D000091;T001038;10000;NAT9310;2010JJ00;20;;None
63;D000091;T001038;10000;NAT9310;2011JJ00;10;;None
64;D000091;T001038;10000;NAT9310;2012JJ00;0;;None
65;D000091;T001038;10000;NAT9310;2013JJ00;5;;None
66;D000091;T001038;10000;NAT9310;2014JJ00;5;;None
67;D000091;T001038;10000;NAT9310;2015JJ00;0;;None
68;D000091;T001038;10000;NAT9310;2016JJ00;0;;None
69;D000091;T001038;10000;NAT9310;2017JJ00;5;;None
70;D000091;T001038;10000;NAT9310;2018JJ00;0;;None
71;D000091;T001038;10000;NAT9310;2019JJ00;0;;None
72;D000091;T001038;10000;NAT9310;2020JJ00;0;;None
73;D000091;T001038;10000;NAT9310;2021JJ00;0;;None
74;D000091;T001038;10000;NAT9310;2022JJ00;0;;None
75;D000091;T001038;10000;NAT9326;2008JJ00;20;;None
76;D000091;T001038;10000;NAT9326;2009JJ00;40;;None
77;D000091;T001038;10000;NAT9326;2010JJ00;25;;None
78;D000091;T001038;10000;NAT9326;2011JJ00;10;;None
79;D000091;T001038;10000;NAT9326;2012JJ00;10;;None
80;D000091;T001038;10000;NAT9326;2013JJ00;35;;None
81;D000091;T001038;10000;NAT9326;2014JJ00;530;;None
82;D000091;T001038;10000;NAT9326;2015JJ00;1240;;None
83;D000091;T001038;10000;NAT9326;2016JJ00;775;;None
84;D000091;T001038;10000;NAT9326;2017JJ00;480;;None
85;D000091;T001038;10000;NAT9326;2018JJ00;430;;None
86;D000091;T001038;10000;NAT9326;2019JJ00;110;;None
87;D000091;T001038;10000;NAT9326;2020JJ00;80;;None
88;D000091;T001038;10000;NAT9326;2021JJ00;235;;None
89;D000091;T001038;10000;NAT9326;2022JJ00;605;;None
